8,八,八 (baat3),八 (はち),acht,팔,,huit,ocho,tám
9,九,九 (gau2),九 (きゅう),neun,구,,neuf,nueve,chín
10,十,十 (sap6),十 (じゅう),zehn,십,,dix,diez,mười
11,十一,十一 (sap6 jat1),十一 (じゅういち),elf,십일,,onze,once,mười một
12,十二,十二 (sap6 ji6),十二 (じゅうに),zwölf,십이,,douze,doce,mười hai
13,十三,十三 (sap6 saam1),十三 (じゅうさん),dreizehn,십삼,,treize,trece,mười ba
14,十四,十四 (sap6 sei3),十四 (じゅうし),vierzehn,십사,,quatorze,catorce,mười bốn
15,十五,十五 (sap6 ng5),十五 (じゅうご),fünfzehn,십오,,quinze,quince,mười lăm
16,十六,十六 (sap6 luk6),十六 (じゅうろく),sechzehn,십육,,seize,dieciséis,mười sáu
17,十七,十七 (sap6 cat1),十七 (じゅうしち),siebzehn,십칠,,dix-sept,diecisiete,mười bảy
18,十八,十八 (sap6 baat3),十八 (じゅうはち),achtzehn,십팔,,dix-huit,dieciocho,mười tám
19,十九,十九 (sap6 gau2),十九 (じゅうく),neunzehn,십구,,dix-neuf,diecinueve,mười chín
20,二十,二十 (ji6 sap6),二十 (にじゅう),zwanzig,스물,,vingt,veinte,hai mươi
21,二十一,二十一 (ji6 sap6 jat1),二十一 (にじゅういち),einundzwanzig,스물하나,,vingt et un,veintiuno,hai mươi một
22,二十二,二十二 (ji6 sap6 ji6),二十二 (にじゅうに),zweiundzwanzig,스물둘,,vingt-deux,veintidós,hai mươi hai
30,三十,三十 (saam1 sap6),三十 (さんじゅう),dreißig,서른,,trente,treinta,ba mươi
31,三十一,三十一 (saam1 sap6 jat1),三十一 (さんじゅういち),einunddreißig,서른하나,,trente et un,treinta y uno,ba mươi một
32,三十二,三十二 (saam1 sap6 ji6),三十二 (さんじゅうに),zweiunddreißig,서른둘,,trente-deux,treinta y dos,ba mươi hai
40,四十,四十 (sei3 sap6),四十 (しじゅう),vierzig,마흔,,quarante,cuarenta,bốn mươi
41,四十一,四十一 (sei3 sap6 jat1),四十一 (しじゅういち),einundvierzig,마흔하나,,quarante et un,cuarenta y uno,bốn mươi một
42,四十二,四十二 (sei3 sap6 ji6),四十二 (しじゅうに),zweiundvierzig,마흔둘,,quarante-deux,cuarenta y dos,bốn mươi hai
50,五十,五十 (ng5 sap6),五十 (ごじゅう),fünfzig,쉰,,cinquante,cincuenta,năm mươi
51,五十一,五十一 (ng5 sap6 jat1),五十一 (ごじゅういち),einundfünfzig,쉰하나,,cinquante et un,cincuenta y uno,năm mươi một
52,五十二,五十二 (ng5 sap6 ji6),五十二 (ごじゅうに),zweiundfünfzig,쉰둘,,cinquante-deux,cincuenta y dos,năm mươi hai
60,六十,六十 (luk6 sap6),六十 (ろくじゅう),sechzig,예순,,soixante,sesenta,sáu mươi
61,六十一,六十一 (luk6 sap6 jat1),六十一 (ろくじゅういち),einundsechzig,예순하나,,soixante et un,sesenta y uno,sáu mươi một
62,六十二,六十二 (luk6 sap6 ji6),六十二 (ろくじゅうに),zweiundsechzig,예순둘,,soixante-deux,sesenta y dos,sáu mươi hai
70,七十,七十 (cat1 sap6),七十 (ななじゅう),siebzig,칠십,,soixante-dix,setenta,bảy mươi
71,七十一,七十一 (cat1 sap6 jat1),七十一 (ななじゅういち),einundsiebzig,칠십하나,,soixante et onze,setenta y uno,bảy mươi một
72,七十二,七十二 (cat1 sap6 ji6),七十二 (ななじゅうに),zweiundsiebzig,칠십둘,,soixante-douze,setenta y dos,bảy mươi hai
80,八十,八十 (baat3 sap6),八十 (はちじゅう),achtzig,팔십,,quatre-vingts,ochenta,tám mươi
81,八十一,八十一 (baat3 sap6 jat1),八十一 (はちじゅういち),einundachtzig,팔십하나,,quatre-vingt-un,ochenta y uno,tám mươi một
82,八十二,八十二 (baat3 sap6 ji6),八十二 (はちじゅうに),zweiundachtzig,팔십둘,,quatre-vingt-deux,ochenta y dos,tám mươi hai
90,九十,九十 (gau2 sap6),九十 (きゅうじゅう),neunzig,구십,,quatre-vingt-dix,noventa,chín mươi
91,九十一,九十一 (gau2 sap6 jat1),九十一 (きゅうじゅういち),einundneunzig,구십하나,,quatre-vingt-onze,noventa y uno,chín mươi một
92,九十二,九十二 (gau2 sap6 ji6),九十二 (きゅうじゅうに),zweiundneunzig,구십둘,,quatre-vingt-douze,noventa y dos,chín mươi hai
100,一百,一百 (jat1 baak3),百 (ひゃく),hundert,백,,cents,cien,một trăm
101,一百零一,一百零一 (jat1 baak3 ling4 jat1),百一 (ひゃくいち),hundert eins,백하나,,cent un,ciento uno,một trăm một
102,一百零二,一百零二 (jat1 baak3 ling4 ji6),百二 (ひゃくに),hundert zwei,백둘,,cent deux,ciento dos,một trăm hai
110,一百一十,一百一十 (jat1 baak3 jat1 sap6),百十 (ひゃくじゅう),hundert zehn,백십,,cent dix,ciento diez,một trăm mười
111,一百一十一,一百一十一 (jat1 baak3 jat1 sap6 jat1),百十一 (ひゃくじゅういち),hundert elf,백십하나,,cent onze,ciento once,một trăm mười một
1000,一千,一千 (jat1 cin1),千 (せん),tausend,천,,mille,mil,nghìn
1001,一千零一,一千零一 (jat1 cin1 ling4 jat1),千一 (せんいち),tausend eins,천하나,,mille un,mil uno,nghìn một
10000,一萬,一万 (jat1 maan6),一万 (いちまん),zehntausend,만,,vingt mille,diez mil,mười nghìn
100000,十萬,十万 (sap6 maan6),十万 (じゅうまん),hunderttausend,십만,,cent mille,cien mil,một trăm nghìn
million,百萬,百万 (baak3 maan6),百万 (ひゃくまん),Million,백만,,million,millón,mil triệu
billion,十億,十亿 (sap6 jik6),十億 (じゅうおく),Milliarde,십억,,milliard,mil millones,tỷ tỷ
1st,第一,第一 (dai6 jat1),第一 (だいいち),erste,첫째,,premier,primero,thứ nhất
2nd,第二,第二 (dai6 ji6),第二 (だいに),zweite,둘째,,deuxième,segundo,thứ hai
3rd,第三,第三 (dai6 saam1),第三 (だいさん),dritte,셋째,,troisième,tercero,thứ ba
4th,第四,第四 (dai6 sei3),第四 (だいよん),vierte,넷째,,quatrième,cuarto,thứ tư
5th,第五,第五 (dai6 ng5),第五 (だいご),fünfte,다섯째,,cinquième,quinto,thứ năm
类 1 DKTZ - tjiq deojh,cmn,yue,ja,de,ko,eo,fr,es,vi
小类pronouns,代词,代词 (doi6 ci4),代名詞 (だいめいし),Pronomen,대명사,,pronoms,pronombres,đại từ
I,我,我 (ngo5),私 (わたし),ich,나,,je,yo,tôi
you (singular),你,你 (nei5),あなた,du,너,,tu,tú,bạn
he,他,佢 (keoi5),彼 (かれ),er,그,,il,él,anh
she,她,佢 (keoi5),彼女 (かのじょ),sie,그녀,,elle,ella,cô
it,它,佢 (keoi5),それ (sore),es,그것,,il,ello,nó
we,我们,我哋 (ngo5 dei6),私たち (わたしたち),wir,우리,,nous,nosotros,chúng tôi
you (plural),你们,你哋 (nei5 dei6),あなたたち,ihr,너희,,vous,vosotros,các bạn
they,他们,佢哋 (keoi5 dei6),彼ら (ひら),sie,그들,,ils,ellos,họ
this,这,呢个 (ne1 go3),これ (kore),dieses,이,,ceci,este,đây
that,那,嗰个 (go2 go3),それ (sore),das,그,,cela,ese,đó
these,这些,呢啲 (ne1 di1),これら (korera),diese,이들,,ces,estos,những này
those,那些,嗰啲 (go2 di1),それら (sorera),diese,그들,,ceux,aquellos,những kia
小类question words,疑问词,疑问词 (ji4 man6 ci4),疑問詞 (ぎもんし),Fragepronomen,의문사,,mots interrogatifs,pronombres interrogativos,từ để hỏi
who,谁,邊個 (bin1 go3),誰 (だれ),wer,누구,,qui,quién,ai
what,什么,乜嘢 (mat1 je5),何 (なに),was,무엇,,quoi,qué,gì
when,什么时候,幾時 (gei2 si4),いつ (itsu),wann,언제,,quand,cuándo,khi
where,哪里,邊度 (bin1 dou6),どこ (doko),wo,어디,,où,dónde,ở đâu
why,为什么,點解 (dim2 gaai2),なぜ (naze),warum,왜,,pourquoi,por qué,tại sao
how,怎么,點樣 (dim2 joeng2),どのように (dono yo ni),wie,어떻게,,comment,cómo,làm sao
which,哪个,邊一個 (bin1 jat1 go3),どちら (dochira),welche,어느,,lequel,cuál,nào
类 1 DKTZ - jinq tsiep,cmn,yue,ja,de,ko,eo,fr,es,vi
类 2 KKTD,cmn,yue,ja,de,ko,eo,fr,es,vi
类 2 KKTD - seng gu,cmn,yue,ja,de,ko,eo,fr,es,vi
Earth,地球,地球 (dei6 kau4),地球 (ちきゅう),Erde,지구,,terre,Tierra,Trái Đất (𧀞𡐙)
类 2 KKTD - then zyangq,cmn,yue,ja,de,ko,eo,fr,es,vi
hot,热,熱 (jit6),熱い (あつい),heiß,더운,,chaud,caliente,nóng
cold,冷,凍 (dung3),寒い (さむい),kalt,추운,,froid,frío,lạnh
warm,暖,暖 (nyun5),暖かい (あたたかい),warm,따뜻한,,chaud,cálido,ấm áp
cool,凉,涼 (leung4),涼しい (すずしい),kühl,시원한,,frais,fresco,mát
light,光,光 (gwong1),光 (ひかり),Licht,빛,,lumière,luz,ánh sáng
light (dark),明亮,暗 (am6),明るい (あかるい),hell,밝은,,lumière,claro,sáng
dark,黑暗,黑 (hak1),暗い (くらい),dunkel,어두운,,sombre,oscuro,tối
wet,湿,濕 (sap1),濡れた (ぬれた),nass,젖은,,mouillé,mojado,ẩm ướt
dry,干燥,乾 (gon1),乾燥 (かんそう),trocken,건조한,,sec,seco,khô
burn,燃烧,燃 (jin4),燃える (もえる),brennen,타다,,brûler,quemar,đốt
melt,融化,融 (jung4),溶ける (とける),schmelzen,녹다,,fondre,derretir,chảy
nuclear,核能,核 (hat6),原子力 (げんしりょく),nuklear,핵,,nucléaire,nuclear,hạt nhân
Energy,能源,能源 (nang4 jyun4),エネルギー,Energie,에너지,,énergie,energía,năng lượng
小类seasons,季节,季節 (gwai3 zit3),季節 (きせつ),Jahreszeiten,계절,,saisons,estaciones,mùa
Spring,春天,春 (ceon1),春 (はる),Frühling,봄,,printemps,primavera,Mùa Xuân
Summer,夏天,夏 (haa6),夏 (なつ),Sommer,여름,,été,verano,Mùa Hè
Fall,秋天,秋 (cau1),秋 (あき),Herbst,가을,,automne,otoño,Mùa Thu
Winter,冬天,冬 (dung1),冬 (ふゆ),Winter,겨울,,hiver,invierno,Mùa Đông
小类months,月份,月份 (jyut6 fan6),月 (つき),Monate,월,,mois,meses,tháng
January,一月,一月 (jat1 jyut6),1月 (いちがつ),Januar,1월,,janvier,enero,Tháng 1
February,二月,二月 (ji6 jyut6),2月 (にがつ),Februar,2월,,février,febrero,Tháng 2
March,三月,三月 (saam1 jyut6),3月 (さんがつ),März,3월,,mars,marzo,Tháng 3
April,四月,四月 (sei3 jyut6),4月 (しがつ),April,4월,,avril,abril,Tháng 4
May,五月,五月 (ng5 jyut6),5月 (ごがつ),Mai,5월,,mai,mayo,Tháng 5
June,六月,六月 (luk6 jyut6),6月 (ろくがつ),Juni,6월,,juin,junio,Tháng 6
July,七月,七月 (cat1 jyut6),7月 (しちがつ),Juli,7월,,juillet,julio,Tháng 7
August,八月,八月 (baat3 jyut6),8月 (はちがつ),August,8월,,août,agosto,Tháng 8
September,九月,九月 (gau2 jyut6),9月 (くがつ),September,9월,,septembre,septiembre,Tháng 9
October,十月,十月 (sap6 jyut6),10月 (じゅうがつ),Oktober,10월,,octobre,octubre,Tháng 10
November,十一月,十一月 (sap6 jat1 jyut6),11月 (じゅういちがつ),November,11월,,novembre,noviembre,Tháng 11
December,十二月,十二月 (sap6 ji6 jyut6),12月 (じゅうにがつ),Dezember,12월,,décembre,diciembre,Tháng 12
小类days of the week,星期,星期 (sing1 kei4),曜日 (ようび),Wochentage,요일,,jours de la semaine,días de la semana,ngày trong tuần
Monday,星期一,星期一 (sing1 kei4 jat1),月曜日 (げつようび),Montag,월요일,,lundi,lunes,Thứ Hai
Tuesday,星期二,星期二 (sing1 kei4 ji6),火曜日 (かようび),Dienstag,화요일,,mardi,martes,Thứ Ba
Wednesday,星期三,星期三 (sing1 kei4 saam1),水曜日 (すいようび),Mittwoch,수요일,,mercredi,miércoles,Thứ Tư
Thursday,星期四,星期四 (sing1 kei4 sei3),木曜日 (もくようび),Donnerstag,목요일,,jeudi,jueves,Thứ Năm
Friday,星期五,星期五 (sing1 kei4 ng5),金曜日 (きんようび),Freitag,금요일,,vendredi,viernes,Thứ Sáu
Saturday,星期六,星期六 (sing1 kei4 luk6),土曜日 (どようび),Samstag,토요일,,samedi,sábado,Thứ Bảy
Sunday,星期日,星期日 (sing1 kei4 jat6),日曜日 (にちようび),Sonntag,일요일,,dimanche,domingo,Chủ Nhật
小类time,时间,時間 (si4 gaan3),時間 (じかん),Zeit,시간,,temps,tiempo,thời gian
year,年,年 (nin4),年 (ねん),Jahr,년,,an,año,năm
month,月,月 (jyut6),月 (つき),Monat,달,,mois,mes,tháng
week,周,星期 (sing1 kei4),週 (しゅう),Woche,주,,semaine,semana,tuần
day,天,日 (jat6),日 (にち),Tag,날,,jour,día,ngày
hour,小时,時 (si4),時間 (じかん),Stunde,시간,,heure,hora,giờ
minute,分钟,分鐘 (fan1 jung1),分 (ふん),Minute,분,,minute,minuto,phút
second,秒,秒 (miu5),秒 (びょう),Sekunde,초,,seconde,segundo,giây
morning,早上,早上 (zou2 soeng5),朝 (あさ),Morgen,아침,,matin,mañana,sáng
afternoon,下午,下午 (haa6 ng5 haa6),午後 (ごご),Nachmittag,오후,,après-midi,tarde,chiều
evening,晚上,晚上 (maan5 soeng5),夜 (よる),Abend,저녁,,soir,tarde,tối
night,夜晚,夜晚 (je6 maan5),夜 (よる),Nacht,밤,,nuit,noche,đêm
类 2 KKTD - dih lyq,cmn,yue,ja,de,ko,eo,fr,es,vi
map,地图,地圖 (dei6 tou4),地図 (ちず),Karte,지도,,carte,map,bản đồ
类 2 KKTD - dih mut,cmn,yue,ja,de,ko,eo,fr,es,vi
hole,洞,孔 (hung1),穴 (あな),Loch,구멍,,trou,agujero,lỗ
heavy,重,重 (cung5),重い (おもい),schwer,무거운,,lourd,pesado,nặng
light (heavy),轻,沉 (cam4),重い (おもい),leicht,가벼운,,léger,liviano,nhẹ
soft,软,輕 (hing1),柔らかい (やわらかい),weich,부드러운,,doux,suave,mềm
hard,硬,硬 (ngaang6),固い (かたい),hart,딱딱한,,dur,duro,cứng
tight,紧,緊 (gan2),きつい (kitsui),eng,꽉 막힌,,serré,ajustado,chặt
loose,松,鬆 (zung1),ゆるい (yurui),locker,헐거운,,lâche,flojo,lỏng
explode,爆炸,爆炸 (baau6 zaat3),爆発する (ばくはつする),explodieren,터지다,,exploser,explotar,nổ
小类待分nature,自然,大自然 (daai6 zi6 jin4),自然 (しぜん),Natur,자연,,nature,naturaleza,thiên nhiên
sea,海洋,海 (hoi2),海 (うみ),Meer,바다,,mer,mar,b biển
ocean,海洋,大洋 (daai6 joeng4),海洋 (かいよう),Ozean,대양,,océan,océano,đại dương
river,河,河 (ho4),川 (かわ),Fluss,강,,rivière,río,sông
mountain,山,山 (saan1),山 (やま),Berg,산,,montaña,montaña,núi
rain,雨,雨 (jyu5),雨 (あめ),Regen,비,,pluie,lluvia,mưa
snow,雪,雪 (seut3),雪 (ゆき),Schnee,눈,,neige,nieve,tuyết
tree,树,樹 (syu6),木 (き),Baum,나무,,arbre,árbol,cây
sun,太阳,太陽 (taai3 joeng4),太陽 (たいよう),Sonne,해,,soleil,sol,mặt trời
moon,月亮,月亮 (jyut6 loeng6),月 (つき),Mond,달,,lune,luna, mặt trăng
world,世界,世界 (sai3 gaai3),世界 (せかい),Welt,세계,,monde,mundo,thế giới
Earth,地球,地球 (dei6 kau4),地球 (ちきゅう),Erde,지구,,terre,Tierra,Trái đất
forest,森林,森林 (sam1 lam4),森林 (しんりん),Wald,숲,,forêt,bosque,rừng
sky,天空,天空 (tin1 hung1),空 (そら),Himmel,하늘,,ciel,cie lo,bầu trời
plant,植物,植物 (zik6 mat6),植物 (しょくぶつ),Pflanze,식물,,plante,planta,thực vật
wind,风,風 (fung1),風 (かぜ),Wind,바람,,vent, viento,gió
soil/earth,土地,土壤 (tou2 jim5),土壌 (つち),Boden,흙,, sol/terre,tierra,đất
flower,花,花 (faa1),花 (はな),Blume,꽃,,fleur,flor,hoa
valley,山谷,山谷 (saan1 guk1),谷 (たに),Tal,계곡,,vallée,valle,thung lũng
root,根,根 (gan1),根 (ね),Wurzel,뿌리,, racine,raíz,gốc
lake,湖,湖 (wu4),湖 (みずうみ),See,호,,lac,lago,hồ
star,星星,星 (sing1),星 (ほし),Stern,별,,étoile,estrella,ngôi sao
grass,草,草 (cou2),草 (くさ),Gras,풀,,herbe, hierba,cỏ
leaf,叶子,葉 (jip6),葉 (は),Blatt,잎,,feuille, hoja,lá
air,空气,空氣 (hung1 hei3),空気 (くうき),Luft,공기,,air,aire,không khí
sand,沙,沙 (saa1),砂 (すな),Sand,모래,,sable,arena,cát
beach,海滩,沙灘 (saa1 taan1),浜辺 (はまべ),Strand,해변,,plage, playa,bãi biển
wave,波,浪 (long6),波 (なみ),Welle,파도,, vague,onda,sóng
fire,火,火 (fo2),火 (ひ),Feuer,불,,feu,fuego,lửa
ice,冰,冰 (bing1),氷 (こおり),Eis,얼음,,gla ce,hielo,đá
island,岛,島 (dou2),島 (しま),Insel,섬,,île,isla,đảo
hill,山丘,山丘 (saan1 kau4),丘 (おか),Hügel,언덕,,colline,colina,đồi
heat,热,熱 (jit6),熱 (ねつ),Hitze,열,,cha leur,calor,nhiệt đới
类 3 KKSM,cmn,yue,ja,de,ko,eo,fr,es,vi
类 3 KKSM - DM sjin thejq,cmn,yue,ja,de,ko,eo,fr,es,vi
grow,生长,生長 (sang1 coeng4),成長する (せいちょうする),wachsen,자라다,,pousser,crecer,lớn lên
小类body,身体,身體 (san1 tai2),体 (からだ),Körper,신체,,corps,cuerpo,thân thể
head,头,頭 (tau4),頭 (あたま),Kopf,머리,,tête,cabeza,đầu
neck,脖子,頸 (geng2),首 (くび),Hals,목,,cou,cuello,cổ
face,脸,臉 (lim5),顔 (かお),Gesicht,얼굴,,visage,cara,khuôn mặt
beard,胡须,鬍鬚 (wu4 sou1),ひげ,Haar,Hüftwuchs,,barbe,barba,râu
hair,头发,頭髮 (tau4 faat3),髪 (かみ),Haare,머리카락,,cheveux,pelo,tóc
eye,眼睛,眼 (ngaan5),目 (め),Auge,눈,,œil,ojo,mắt
mouth,嘴巴,口 (hau2),口 (くち),Mund,입,,bouche,boca,miệng
lip,嘴唇,嘴唇 (zeoi2 seon4),唇 (くちびる),Lippe,입술,,lèvre,labio,môi
nose,鼻子,鼻 (bei6),鼻 (はな),Nase,코,,nez,nariz,mũi
tooth,牙齿,牙 (ngaa4),歯 (は),Zahn,이,, dent,diente,răng
ear,耳朵,耳 (ji5),耳 (みみ),Ohr,귀,,oreja,oreja,tai
tear (drop),眼泪,眼淚 (ngaan5 leoi6),涙 (なみだ),Träne,눈물,,larme,lágrima,nước mắt
tongue,舌头,舌頭 (sit6 tau4),舌 (した),Zunge,혀,,langue,lengua,lưỡi
back,背部,背 (bui3),背中 (せなか),Rücken,등,,dos,espalda,lưng
toe,脚趾,腳趾 (goek3 zi1),足の指 (あしのゆび),Zehe,발가락,,orteil,dedo del pie,ngón chân
finger,手指,手指 (sau2 zi2),指 (ゆび),Finger,손가락,,doigt,dedo,cái tay
foot,脚,腳 (goek3),足 (あし),Fuß,발,,pied,pie,chân
hand,手,手 (sau2),手 (て),Hand,손,,main,mano,tay
leg,腿,腿 (teoi2),脚 (あし),Bein,다리,,jambe,pierna,chân
arm,手臂,手臂 (sau2 bei6),腕 (うで),Arm,팔,,bras,brazo,cánh tay
shoulder,肩膀,肩膀 (gin1 bong2),肩 (かた),Schulter,어깨,,épaule,hombro,vai
heart,心脏,心臟 (sam1 zong6),心臓 (しんぞう),Herz,심장,,cœur,corazón,trái tim
blood,血,血 (hyut3),血 (ち),Blut,피,,sangre,sangre,máu
brain,脑,腦 (nou5),脳 (のう),Gehirn,뇌,,cerveau,cerebro,não
knee,膝盖,膝 (sat1),膝 (ひざ),Knie,무릎,,genou,rodilla,gối
sweat,汗,汗 (hon6),汗 (あせ),Schweiß,땀,,transpiration,sudor,mồ hôi
disease,疾病,疾病 (zap1 beng6),病気 (びょうき),Krankheit,질병,,maladie,enfermedad,bệnh
bone,骨头,骨 (gwat1),骨 (ほね),Knochen,뼈,,os,hueso,xương
voice,声音,聲 (seng1),声 (こえ),Stimme,목소리,,voix,voz,giọng
skin,皮肤,皮膚 (pei4 fu1),皮膚 (ひふ),Haut,피부,,peau,piel,da
smell,闻,氣味 (hei3 mei6),嗅ぐ (かぐ),riechen,냄새를 맡다,,sentir,oler,ngửi
taste,尝,味道 (mei6 dou6),味わう (あじわう),schmecken,맛보다,,goûter,saborear,thưởng thức
touch,触摸,觸摸 (cuk1 muk6),触る (さわる),berühren,만지다,,toucher,tocar,chạm aanraken
类 3 KKSM - DMST djih koeuk,cmn,yue,ja,de,ko,eo,fr,es,vi
see (a bird),看见,睇 (tai2),見る (みる),sehen,보다,,voir,ver,thấy
watch (TV),看,睇 (tai2),見る (みる),schauen,보다,,regarder,ver,watch
blind,盲,瞎 (hat6),盲目 (もうもく),blind,맹인,,aveugle,ciego,mùa
image,图像,影 (jing2),画像 (がぞう),Bild,이미지,,image,imagen,hình ảnh
pattern,图案,圖案 (tou4 on3),模様 (もよう),Muster,무늬,,modèle,patrón,mẫu
draw,画,畫 (waa2),描く (かく),zeichnen,그리다,,dessiner,dibujar,vẽ
